07/25/2017                                                                Dynamic List Display                                                                        1


	Order	Material	Order Type	MRP ctrlr	Pr.Superv.	Plant	Target qty	Unit	Bsc start	Basic fin.	Act. Start	Act.finish	Release	Release	Act.finish	ActStart
	161096645	472147-001	ZP02	K38	K51	2475	        1	EA	03/10/2017	03/21/2017	04/21/2017	06/07/2017	03/28/2017	03/10/2017	00:00:00	04:36:31
	161101228	473001	ZP02	K38	K51	2475	        1	EA	03/14/2017	03/23/2017	04/26/2017	06/08/2017	03/29/2017	03/14/2017	00:00:00	05:51:31
	161101231	472147-001	ZP02	K38	K51	2475	        1	EA	03/13/2017	03/22/2017	04/20/2017	06/12/2017	03/29/2017	03/13/2017	00:00:00	12:46:35
	161101233	472147-001	ZP02	K38	K51	2475	        1	EA	03/13/2017	03/22/2017	04/20/2017	06/12/2017	03/29/2017	03/13/2017	00:00:00	12:02:02
	161101241	B478-1	ZP02	K38	K51	2475	        1	EA	03/21/2017	03/28/2017	05/08/2017	06/21/2017	03/29/2017	03/21/2017	00:00:00	11:02:17
	161105972	B478-1	ZP02	K38	K51	2475	        1	EA	03/17/2017	03/28/2017	04/10/2017	05/03/2017	03/30/2017	03/17/2017	00:00:00	11:31:58
	161105975	B478-1	ZP02	K38	K51	2475	        1	EA	03/14/2017	03/28/2017	05/05/2017	06/19/2017	03/30/2017	03/14/2017	00:00:00	07:56:13
	161105977	B478-1	ZP02	K38	K51	2475	        1	EA	03/21/2017	03/28/2017	05/15/2017	06/21/2017	03/30/2017	03/21/2017	00:00:00	13:01:59
	161106024	473131-002	ZP02	K38	K51	2475	        1	EA	03/16/2017	04/12/2017	04/17/2017	06/09/2017	03/30/2017	03/16/2017	00:00:00	13:31:33
	161106041	472147-001	ZP02	K38	K51	2475	        1	EA	03/14/2017	03/23/2017	04/05/2017	05/11/2017	03/30/2017	03/14/2017	00:00:00	04:51:34
	161106045	472147-001	ZP02	K38	K51	2475	        1	EA	03/14/2017	03/23/2017	04/05/2017	06/12/2017	03/30/2017	03/14/2017	00:00:00	04:51:34
	161106047	472147-001	ZP02	K38	K51	2475	        1	EA	03/16/2017	03/27/2017	04/06/2017	06/26/2017	03/30/2017	03/16/2017	00:00:00	07:16:46
	161106053	472147-001	ZP02	K38	K51	2475	        1	EA	03/16/2017	03/27/2017	04/06/2017	06/12/2017	03/30/2017	03/16/2017	00:00:00	07:16:46
	161112058	30190-0203	ZP02	K38	K51	2475	        1	EA	03/23/2017	04/03/2017	04/04/2017	05/01/2017	03/31/2017	03/23/2017	00:00:00	10:31:42
	161112065	B478-1	ZP02	K38	K51	2475	        1	EA	05/26/2017	06/02/2017	04/06/2017	06/02/2017	03/31/2017	05/26/2017	00:00:00	13:11:51
	161112068	B478-1	ZP02	K38	K51	2475	        1	EA	03/17/2017	03/28/2017	04/28/2017	06/02/2017	03/31/2017	03/17/2017	00:00:00	12:51:42
	161112070	B478-1	ZP02	K38	K51	2475	        1	EA	03/21/2017	03/28/2017	05/05/2017	06/19/2017	03/31/2017	03/21/2017	00:00:00	12:51:31
	161112086	B478-1	ZP02	K38	K51	2475	        1	EA	03/16/2017	03/28/2017	05/03/2017	06/23/2017	03/31/2017	03/16/2017	00:00:00	12:51:57
	161113006	B478-1	ZP02	K38	K51	2475	        1	EA	03/21/2017	03/28/2017	04/06/2017	06/08/2017	03/31/2017	03/21/2017	00:00:00	11:22:01
	161113017	B478-1	ZP02	K38	K51	2475	        1	EA	03/13/2017	03/28/2017	05/02/2017	06/21/2017	03/31/2017	03/13/2017	00:00:00	13:11:27
	161115189	30321-0101	ZP02	K38	K51	2475	        1	EA	04/05/2017	04/13/2017	04/03/2017	05/09/2017	03/31/2017	04/05/2017	00:00:00	11:41:34
	161129154	B478-1	ZP02	K38	K51	2475	        1	EA	04/06/2017	04/13/2017	05/11/2017	06/23/2017	04/04/2017	04/06/2017	00:00:00	11:11:50
	161129157	B478-1	ZP02	K38	K51	2475	        1	EA	04/06/2017	04/13/2017	05/15/2017	06/02/2017	04/04/2017	04/06/2017	00:00:00	12:51:37
	161129159	B478-1	ZP02	K38	K51	2475	        1	EA	04/05/2017	04/13/2017	05/11/2017	06/21/2017	04/04/2017	04/05/2017	00:00:00	12:16:19
	161129191	B478-1	ZP02	K38	K51	2475	        1	EA	04/10/2017	04/17/2017	05/16/2017	06/21/2017	04/04/2017	04/10/2017	00:00:00	06:36:43
	161129193	B478-1	ZP02	K38	K51	2475	        1	EA	04/10/2017	04/17/2017	05/16/2017	06/23/2017	04/04/2017	04/10/2017	00:00:00	12:56:32
	161129194	B478-1	ZP02	K38	K51	2475	        1	EA	04/07/2017	04/17/2017	05/17/2017	06/21/2017	04/04/2017	04/07/2017	00:00:00	09:31:26
	161129197	B478-1	ZP02	K38	K51	2475	        1	EA	04/10/2017	04/17/2017	05/17/2017	06/15/2017	04/04/2017	04/10/2017	00:00:00	12:06:51
	161129841	B478-1	ZP02	K38	K51	2475	        1	EA	04/10/2017	04/17/2017	05/17/2017	06/23/2017	04/04/2017	04/10/2017	00:00:00	13:11:35
	161129850	B478-1	ZP02	K38	K51	2475	        1	EA	04/10/2017	04/17/2017	05/18/2017	06/23/2017	04/04/2017	04/10/2017	00:00:00	12:26:31
	161129861	B478-1	ZP02	K38	K51	2475	        1	EA	04/10/2017	04/17/2017	05/18/2017	06/15/2017	04/04/2017	04/10/2017	00:00:00	12:36:25
	161137770	B478-1	ZP02	K38	K51	2475	        1	EA	04/10/2017	04/17/2017	05/10/2017	06/15/2017	04/05/2017	04/10/2017	00:00:00	04:16:20
	161137772	B478-1	ZP02	K38	K51	2475	        1	EA	04/12/2017	04/18/2017	05/19/2017	06/23/2017	04/05/2017	04/12/2017	00:00:00	13:01:51
	161137774	B478-1	ZP02	K38	K51	2475	        1	EA	04/11/2017	04/18/2017	05/23/2017	06/12/2017	04/05/2017	04/11/2017	00:00:00	04:46:14
	161137777	B478-1	ZP02	K38	K51	2475	        1	EA	04/11/2017	04/18/2017	05/22/2017	06/02/2017	04/05/2017	04/11/2017	00:00:00	11:41:33
	161142376	B478-1	ZP02	K38	K51	2475	        1	EA	04/11/2017	04/18/2017	05/22/2017	06/21/2017	04/06/2017	04/11/2017	00:00:00	12:56:13
	161142379	B478-1	ZP02	K38	K51	2475	        1	EA	04/11/2017	04/18/2017	05/23/2017	06/23/2017	04/06/2017	04/11/2017	00:00:00	10:21:36
	161142381	B478-1	ZP02	K38	K51	2475	        1	EA	04/10/2017	04/18/2017	05/23/2017	06/19/2017	04/06/2017	04/10/2017	00:00:00	09:56:25
	161142383	B478-1	ZP02	K38	K51	2475	        1	EA	04/10/2017	04/18/2017	05/24/2017	06/23/2017	04/06/2017	04/10/2017	00:00:00	11:16:29
	161144095	30305-0101	ZP02	K38	K63	2475	        1	EA	04/04/2017	04/25/2017	04/14/2017	05/03/2017	04/06/2017	04/04/2017	00:00:00	06:56:40
	161144122	30321-0101	ZP02	K38	K51	2475	        1	EA	04/07/2017	04/20/2017	04/07/2017	05/09/2017	04/06/2017	04/07/2017	00:00:00	08:31:49
	161144123	30321-0101	ZP02	K38	K51	2475	        1	EA	04/07/2017	04/20/2017	04/07/2017	05/09/2017	04/06/2017	04/07/2017	00:00:00	08:31:49
	161144124	30321-0101	ZP02	K38	K51	2475	        1	EA	04/07/2017	04/20/2017	04/07/2017	05/09/2017	04/06/2017	04/07/2017	00:00:00	08:31:49
	161144125	30321-0101	ZP02	K38	K51	2475	        1	EA	04/07/2017	04/20/2017	04/07/2017	05/09/2017	04/06/2017	04/07/2017	00:00:00	08:31:49
	161144126	30321-0101	ZP02	K38	K51	2475	        1	EA	04/07/2017	04/20/2017	04/07/2017	05/09/2017	04/06/2017	04/07/2017	00:00:00	08:31:49
	161150134	30279-0301	ZGRT	K38	K51	2475	        1	EA	05/04/2017	05/08/2017	04/13/2017	05/11/2017	04/07/2017	05/04/2017	00:00:00	12:51:52
	161158801	30279-0301	ZGRT	K38	K51	2475	        1	EA	05/08/2017	05/10/2017	04/10/2017	07/14/2017	04/10/2017	05/08/2017	00:00:00	11:26:59
	161161149	30279-0301	ZP02	K38	K51	2475	        1	EA	04/07/2017	04/20/2017	04/12/2017	06/05/2017	04/10/2017	04/07/2017	00:00:00	12:56:19
	161161151	30279-0301	ZP02	K38	K51	2475	        1	EA	04/11/2017	04/24/2017	04/13/2017	05/16/2017	04/10/2017	04/11/2017	00:00:00	07:41:37
	161165671	30277-1101	ZGRT	K38	K63	2475	        1	EA	05/10/2017	05/11/2017	04/11/2017	05/04/2017	04/11/2017	05/10/2017	00:00:00	09:26:58
	161166333	472854-2	ZP02	K38	K51	2475	        1	EA	04/05/2017	04/20/2017	04/25/2017	05/17/2017	04/11/2017	04/05/2017	00:00:00	12:17:13
	161184280	30279-0301	ZP02	K38	K51	2475	        1	EA	04/06/2017	04/24/2017	04/18/2017	05/08/2017	04/14/2017	04/06/2017	00:00:00	06:56:49
	161184286	30279-0301	ZP02	K38	K51	2475	        1	EA	04/11/2017	04/26/2017	04/18/2017	06/13/2017	04/14/2017	04/11/2017	00:00:00	10:16:47
	161189337	30190-0203	ZP02	K38	K51	2475	        1	EA	04/07/2017	04/19/2017	04/20/2017	05/02/2017	04/17/2017	04/07/2017	00:00:00	06:26:35
	161194349	30190-1410-0301	ZP02	K38	K51	2475	        1	EA	02/15/2017	02/20/2017	04/19/2017	05/02/2017	04/18/2017	02/15/2017	00:00:00	07:07:11
	161199808	30279-0301	ZP02	K38	K51	2475	        1	EA	04/14/2017	05/01/2017	04/20/2017	06/07/2017	04/19/2017	04/14/2017	00:00:00	09:36:42
	161207077	30190-1410-0301	ZP02	K38	K51	2475	        1	EA	03/20/2017	03/23/2017	04/20/2017	05/16/2017	04/20/2017	03/20/2017	00:00:00	12:51:53
	161207089	30130-01	ZP02	K38	K51	2475	        1	EA	03/30/2017	04/10/2017	04/21/2017	05/01/2017	04/20/2017	03/30/2017	00:00:00	12:36:26
	161207091	30130-01	ZP02	K38	K51	2475	        1	EA	03/30/2017	04/10/2017	04/21/2017	05/01/2017	04/20/2017	03/30/2017	00:00:00	12:22:11
	161207114	472147-001	ZP02	K38	K51	2475	        1	EA	04/06/2017	04/17/2017	04/24/2017	06/12/2017	04/20/2017	04/06/2017	00:00:00	05:21:38
	161207116	472147-001	ZP02	K38	K51	2475	        1	EA	04/06/2017	04/17/2017	04/24/2017	06/15/2017	04/20/2017	04/06/2017	00:00:00	07:02:19
	161207118	473001	ZP02	K38	K51	2475	        1	EA	04/10/2017	04/19/2017	04/26/2017	06/23/2017	04/20/2017	04/10/2017	00:00:00	05:51:44
	161207124	30027-0000-02	ZP02	K38	K51	2475	        1	EA	04/12/2017	04/26/2017	05/02/2017	05/15/2017	04/20/2017	04/12/2017	00:00:00	12:56:37
	161212661	473001	ZP02	K38	K51	2475	        1	EA	04/24/2017	05/03/2017	04/26/2017	06/23/2017	04/21/2017	04/24/2017	00:00:00	05:51:46
	161216148	30305-0101	ZP02	K38	K63	2475	        1	EA	04/24/2017	05/01/2017	04/25/2017	05/18/2017	04/24/2017	04/24/2017	00:00:00	04:41:54
	161216151	30305-0101	ZP02	K38	K63	2475	        1	EA	04/12/2017	05/03/2017	04/25/2017	05/08/2017	04/24/2017	04/12/2017	00:00:00	07:46:39
	161216153	30305-0101	ZP02	K38	K63	2475	        1	EA	04/12/2017	05/03/2017	04/25/2017	05/08/2017	04/24/2017	04/12/2017	00:00:00	09:37:09
	161218080	30279-0301	ZP02	K38	K51	2475	        1	EA	04/28/2017	05/11/2017	04/25/2017	05/26/2017	04/24/2017	04/28/2017	00:00:00	04:36:48
	161218200	30190-1410-0301	ZP02	K38	K51	2475	        1	EA	03/21/2017	03/23/2017	04/24/2017	05/22/2017	04/24/2017	03/21/2017	00:00:00	12:56:53
	161219018	472147-001	ZP02	K38	K51	2475	        1	EA	04/10/2017	04/19/2017	05/16/2017	06/26/2017	04/24/2017	04/10/2017	00:00:00	10:41:38
