07/25/2017                                                                                                              Dynamic List Display                                                                                                                      1


	Order	Activity	Work cntr.	Operation short text	Op. Qty	Actl Start	Act. start	Act.finish	Act.finish	              Move time	             Queue time	Sys.Status	Duration	                  Setup	User field	User field	              Wait time
	160065177	0031	CMQ13000	HUMS INSPECTION	     1	02/27/2017	04:21:23	02/27/2017	13:11:26	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	QOP -271 	11/08/2016	                  0.000
	160065177	0032	CMA13000	HUMS TEST	     1	11/10/2016	11:01:45	05/30/2017	11:41:26	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	FCT-60	05/30/2017	                  0.000
	160065177	0033	CMA11000	Hums Electrical Rework	     1	05/30/2017	11:16:56	05/30/2017	11:16:56	                  0.000	                  4.000	PCNF PRT  REL	    0.0	                  0.000	QOP -271 	05/30/2017	                  0.000
	160065177	0034	CMA13000	Rework: Test	     1	05/30/2017	12:56:15	07/24/2017	12:31:49	                  0.000	                  4.000	PCNF PRT  REL	    0.0	                  0.000	FCT-60	07/24/2017	                  0.000
	160065177	0038	CMQ13000	HUMS INSPECTION	     1		00:00:00		00:00:00	                  0.000	                  0.960	PRT  REL	   37.2	                  4.800			                  0.000
	160065177	0039	CMA12000	HUMS MECH ASSEMBLY	     1		00:00:00		00:00:00	                  0.000	                  4.000	PRT  REL	   45.0	                  5.000			                  0.000
	160065177	0040	HNT11000	Burn-In Test	     1		00:00:00		00:00:00	                  0.000	                  8.000	PRT  REL	   79.2	                 15.000			                  0.000
	160065177	0050	CMA13000	HUMS TEST	     1		00:00:00		00:00:00	                  0.000	                  4.000	PRT  REL	   94.8	                  6.000			                  0.000
	160065177	0060	CMA12000	HUMS MECH ASSEMBLY	     1		00:00:00		00:00:00	                  0.000	                  4.000	PRT  REL	   52.2	                  3.000			                  0.000
	160065177	0070	PSA34000	Painting	     1		00:00:00		00:00:00	                  0.000	                  8.000	PRT  REL	    0.0	                  0.000			                480.000
	160065177	0080	CMA13000	HUMS TESTING	     1		00:00:00		00:00:00	                  0.000	                  4.000	PRT  REL	  205.2	                  9.000			                  0.000
	160065177	0100	CMQ13000	HUMS INSPECTION	     1		00:00:00		00:00:00	                  0.000	                  0.960	PRT  REL	  134.4	                  6.000			                  0.000
	160065177	9999	ZPD9LAST	LAST OPERATION	     1		00:00:00		00:00:00	                  0.000	                  0.000	PRT  REL	    0.0	                  0.000			                  0.000
	160103421	0005	KIT02000	KITTING	     1		00:00:00		00:00:00	                  0.000	                 16.000	PRT  REL	   20.0	                  5.000	0043519	08/29/2016	                  0.000
	160103421	0010	CMA12000	HUMS MECH ASSY	     1	08/29/2016	07:32:28	08/29/2016	07:32:28	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	QOP-714	08/29/2016	                  0.000
