07/25/2017                                                                    Dynamic List Display                                                                           1

07/25/2017			                                                            Serial Numbers Assigned to Deliveries											  1

Serial Numbers Assigned to Deliveries

	DlvTy	Material		Delivery quantity	SU	Plnt	SLoc	Batch	Serial number	Ac.GI date	TRKID#	Forwarding agent tracking ID	Material Description
	ZLF	30321-0101		               1	EA	2475	SHP5	0016807763	01607	04/28/2017	722958612405		MODULE REMOTE SENSOR INTERFACE
	ZLF	30305-0101		               1	EA	2475	SHP5	0016832514	0839	05/03/2017	722958615687		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30305-0101		               1	EA	2475	SHP5	0016963387	0842	05/08/2017	722958619513		CONTROLLER TEMP ENGINE NOSE GEARBOX
	NL	B478-1		               1	EA	2475	SHP5	0016763066	2345	05/03/2017			CONTROL UNIT   GRUMMAN E-2C
	ZLF	473001		               1	EA	2475	SHP5	0015968805	1761	05/05/2017	722958618263		LIQ LEVEL CONT  MC AIR F-15 C D
	NL	472147-001		               1	EA	2475	SHP5	0016606651	4238	05/05/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016606669	4239	05/05/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016606692	4240	05/05/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016606716	4241	05/05/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	ZLF	30130-01		               1	EA	2475	SHP5	0016944577	0983	05/04/2017	114666970634755		LIQ LEV CONTROL UNIT MCAIR F-18
	ZLF	30130-01		               1	EA	2475	SHP5	0016944569	0982	05/04/2017	114666970634755		LIQ LEV CONTROL UNIT MCAIR F-18
	ZLF	30305-0101		               1	EA	2475	SHP5	0016963372	0841	05/08/2017	722958619487		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30279-0301		               1	EA	2475	SHP5	0016537038	B942-01618	05/04/2017	114666970634878		VEHICLE HEALTH MANAGEMENT UNIT
	NL	30190-1410-0301		               1	EA	2475	SHP5	0016829661	1088	05/04/2017			POWER SUPPLY AY
	ZLF	30277-1101		               1	EA	2475	SHP5	0016975931	00902	05/10/2017	722958622071		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30279-0301		               1	EA	2475	RNN1	0016652260	B942-01451	05/11/2017	114666970636384		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30279-0301		               1	EA	2475	SHP5	0016680053	B942-01621	05/11/2017	114666970636278		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30321-0101		               1	EA	2475	SHP5	0016579748	01589	05/09/2017	722958620540		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0016779418	01596	05/09/2017	722958620540		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0016832933	01616	05/09/2017	722958620540		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0016832934	01612	05/09/2017	722958620540		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0016832935	01613	05/09/2017	722958620540		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0016832937	01614	05/09/2017	722958620540		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0016832938	01615	05/09/2017	722958620540		MODULE REMOTE SENSOR INTERFACE
	ZLF	473131-002		               1	EA	2475	SHP5	0016213171	1512K	05/08/2017	722958619476		SIGNAL CONDITIONER  F-15
	ZLF	30305-0101		               1	EA	2475	SHP5	0016977443	0843	05/12/2017	722958623950		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30279-0301		               1	EA	2475	SHP5	0017002981	B942-01642	05/08/2017	114666970635639		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30279-0301		               1	EA	2475	SHP5	0017027023	B942-01643	05/11/2017	114666970636339		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30279-0301		               1	EA	2475	SHP5	0016900394	B942-01632	05/08/2017	114666970635578		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30305-0101		               1	EA	2475	RNN1	0014801160	0666	05/09/2017	722958620344		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30305-0101		               1	EA	2475	SHP5	0014759383	0740	05/12/2017	722958624545		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30279-0105		               1	EA	2475	SHP5	0016977541	00686	05/12/2017	114666970636612		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30279-0103		               1	EA	2475	RNN1	0011645623	B1483-00105	05/12/2017	114666970636490		COMPUTER IVHMU
	ZLF	30305-0101		               1	EA	2475	SHP5	0016977461	0845	05/12/2017	722958624497		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	473131-002		               1	EA	2475	SHP5	0016225457	1513K	05/15/2017	722958625666		SIGNAL CONDITIONER  F-15
	ZLF	473131-002		               1	EA	2475	SHP5	0016068029	1510K	05/15/2017	722958625438		SIGNAL CONDITIONER  F-15
	ZLF	30277-1101		               1	EA	2475	SHP5	0016975955	00903	05/12/2017	722958624626		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30279-0301		               1	EA	2475	SHP5	0017049933	B942-01646	05/16/2017	114666970637329		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30279-0301		               1	EA	2475	SHP5	0017035667	B942-01645	05/12/2017	114666970636599		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30279-0105		               1	EA	2475	SHP5	0016980923	00687	05/12/2017	114666970636605		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30279-0301		               1	EA	2475	SHP5	0016859712	B942-01630	05/16/2017	114666970637305		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30279-0301		               1	EA	2475	RNN1	0016842196	B942-01475	05/12/2017	114666970636476		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30305-0101		               1	EA	2475	SHP5	0016977450	0844	05/12/2017	722958624534		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30305-0101		               1	EA	2475	SHP5	0016989043	0846	05/12/2017	722958624534		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30190-0304		               1	EA	2475	SHP5	0017039649	1071	05/15/2017	114666970636872		MPU
	ZLF	30279-0301		               1	EA	2475	SHP5	0017035657	B942-01644	05/11/2017	114666970636391		VEHICLE HEALTH MANAGEMENT UNIT
	NL	472147-001		               1	EA	2475	SHP5	0016606736	4242	05/11/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016763731	4249	05/11/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	ZLF	30305-0101		               1	EA	2475	SHP5	0016989183	0849	05/18/2017	722958628600		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30305-0101		               1	EA	2475	SHP5	0017002172	0851	05/17/2017	722958627577		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30305-0101		               1	EA	2475	SHP5	0015939608	0786	05/19/2017	722958629661		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30277-1101		               1	EA	2475	SHP5	0017066004	00907	05/17/2017	722958627842		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30305-0101		               1	EA	2475	SHP5	0017002145	0850	05/18/2017	722958628448		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30305-0101		               1	EA	2475	SHP5	0017015542	0853	05/18/2017	722958628654		CONTROLLER TEMP ENGINE NOSE GEARBOX
