07/25/2017                                                                Dynamic List Display                                                                        1


	Order	Material	Order Type	MRP ctrlr	Pr.Superv.	Plant	Target qty	Unit	Bsc start	Basic fin.	Act. Start	Act.finish	Release	Release	Act.finish	ActStart
	161610882	30321-0101	ZP02	K38	K51	2475	        1	EA	07/19/2017	08/01/2017	07/19/2017		07/19/2017	07/19/2017	00:00:00	09:26:54
	161610883	30321-0101	ZP02	K38	K51	2475	        1	EA	07/20/2017	08/02/2017	07/19/2017		07/19/2017	07/20/2017	00:00:00	09:26:54
	161610884	30321-0101	ZP02	K38	K51	2475	        1	EA	07/20/2017	08/02/2017	07/19/2017		07/19/2017	07/20/2017	00:00:00	09:26:54
	161610901	30190-1410-0301	ZP02	K38	K51	2475	        1	EA	07/18/2017	07/21/2017			07/19/2017	07/18/2017	00:00:00	00:00:00
	161616006	30277-1101	ZGRT	K38	K63	2475	        1	EA	08/17/2017	08/21/2017			07/20/2017	08/17/2017	00:00:00	00:00:00
	161616650	30277-1101	ZP02	K38	K63	2475	        1	EA	07/20/2017	08/01/2017			07/20/2017	07/20/2017	00:00:00	00:00:00
	161616654	30277-1101	ZP02	K38	K63	2475	        1	EA	07/20/2017	08/01/2017			07/20/2017	07/20/2017	00:00:00	00:00:00
	161616659	30277-1101	ZP02	K38	K63	2475	        1	EA	07/20/2017	08/01/2017			07/20/2017	07/20/2017	00:00:00	00:00:00
	161616665	30277-1101	ZP02	K38	K63	2475	        1	EA	07/20/2017	08/01/2017			07/20/2017	07/20/2017	00:00:00	00:00:00
	161619002	30321-0101	ZP02	K38	K51	2475	        1	EA	07/20/2017	08/02/2017			07/20/2017	07/20/2017	00:00:00	00:00:00
	161619003	30321-0101	ZP02	K38	K51	2475	        1	EA	07/20/2017	08/02/2017			07/20/2017	07/20/2017	00:00:00	00:00:00
	161619004	30321-0101	ZP02	K38	K51	2475	        1	EA	07/21/2017	08/03/2017			07/20/2017	07/21/2017	00:00:00	00:00:00
	161619005	30321-0101	ZP02	K38	K51	2475	        1	EA	07/21/2017	08/03/2017			07/20/2017	07/21/2017	00:00:00	00:00:00
	161622413	30279-0105	ZP02	K38	K51	2475	        1	EA	07/24/2017	08/07/2017	07/24/2017		07/21/2017	07/24/2017	00:00:00	07:17:32
	161630575	30279-0301	ZGRT	K38	K51	2475	        1	EA	08/09/2017	08/24/2017			07/24/2017	08/09/2017	00:00:00	00:00:00
	161637429	30190-1410-0301	ZP02	K38	K51	2475	        1	EA	07/25/2017	07/28/2017			07/25/2017	07/25/2017	00:00:00	00:00:00
	161637438	30190-1410-0301	ZP02	K38	K51	2475	        1	EA	07/25/2017	07/28/2017			07/25/2017	07/25/2017	00:00:00	00:00:00
	161637443	30190-1410-0301	ZP02	K38	K51	2475	        1	EA	07/25/2017	07/28/2017			07/25/2017	07/25/2017	00:00:00	00:00:00
